City,Cloudiness,Country,Date,Humidity,Lat,Lng,Wind Speed,Max Temp
newport,100,GB,1590102937,79,51.59,-3.0,8.72,64.0
hobart,0,AU,1590102786,80,-42.88,147.33,4.7,51.01
puerto ayora,93,ES,1590103042,88,36.59,-6.23,2.24,71.01
tiksi,100,RU,1590103042,96,71.69,128.87,5.55,31.66
bluff,70,NZ,1590103042,79,-46.6,168.33,21.85,54.14
ampanihy,0,MG,1590103042,86,-24.7,44.75,6.82,63.64
ahipara,11,NZ,1590103042,65,-35.17,173.17,7.56,62.55
flinders,82,AU,1590103042,61,-34.58,150.86,11.01,57.0
nouadhibou,0,MR,1590103042,77,20.93,-17.03,21.92,68.0
boende,97,CD,1590103042,89,-0.22,20.87,3.09,73.33
ushuaia,75,AR,1590102881,82,-54.8,-68.3,13.87,42.8
magomeni,40,TZ,1590103042,94,-6.8,39.25,5.82,71.6
yellowknife,90,CA,1590102943,46,62.46,-114.35,11.41,50.0
kapaa,90,US,1590103042,83,22.08,-159.32,21.92,77.0
hithadhoo,80,MV,1590103042,76,-0.6,73.08,12.37,84.11
ossora,100,RU,1590103043,78,59.24,163.07,2.64,37.63
saskylakh,99,RU,1590103043,85,71.92,114.08,6.89,35.87
jamestown,1,US,1590102991,40,42.1,-79.24,8.05,72.0
vaini,75,TO,1590103043,83,-21.2,-175.2,3.36,77.0
provideniya,75,RU,1590103043,74,64.38,-173.3,20.13,35.6
tuktoyaktuk,0,CA,1590103043,93,69.45,-133.04,5.84,33.73
grand centre,1,US,1590103044,13,38.88,-109.5,9.17,73.4
bethel,1,US,1590103044,48,41.37,-73.41,12.75,66.99
rikitea,75,PF,1590103044,69,-23.12,-134.97,21.36,73.42
port alfred,12,CD,1590103044,66,-7.03,29.76,6.38,72.34
tazovskiy,95,RU,1590103044,78,67.47,78.7,4.32,49.23
pacific grove,79,US,1590103045,73,38.48,-90.74,3.65,68.0
norman wells,90,US,1590103045,73,35.22,-97.44,11.41,75.99
dingle,100,PH,1590103045,80,11.0,122.67,3.51,82.8
ayagoz,21,KZ,1590103045,88,47.97,80.44,6.85,50.61
mbaiki,100,CF,1590103045,97,3.87,17.99,2.82,67.41
avarua,75,CK,1590103046,61,-21.21,-159.78,12.75,80.6
yarada,42,IN,1590103046,76,17.65,83.27,9.84,84.6
busselton,0,AU,1590103046,64,-33.65,115.33,6.67,46.99
sao filipe,15,IN,1590103046,47,20.51,76.21,14.92,79.48
clyde river,100,US,1590102822,89,41.3,-82.98,3.0,62.01
iqaluit,75,CA,1590103046,63,63.75,-68.51,10.29,28.4
seminole,20,US,1590103046,62,28.71,-81.21,14.99,91.0
mataura,18,NZ,1590103046,88,-46.19,168.86,1.99,53.71
tecoanapa,49,MX,1590103046,60,16.52,-98.75,11.81,86.77
nikolskoye,99,RU,1590103046,70,59.7,30.79,6.71,42.8
kaitangata,71,NZ,1590103047,76,-46.28,169.85,3.47,53.1
butaritari,6,KI,1590103047,82,3.07,172.79,15.77,83.01
bilibino,85,RU,1590103047,91,68.05,166.44,5.59,28.65
khandyga,100,RU,1590103047,48,62.67,135.6,2.39,55.58
tasiilaq,100,GL,1590103047,91,65.61,-37.64,24.16,39.2
talnakh,82,RU,1590103047,50,69.49,88.4,13.42,57.2
thompson,90,CA,1590103047,51,55.74,-97.86,14.99,39.2
kodiak,90,US,1590103047,93,57.79,-152.41,17.22,46.4
qaanaaq,48,GL,1590103047,90,77.48,-69.36,2.64,31.19
lumberton,90,US,1590103047,88,34.62,-79.01,4.7,73.4
keti bandar,19,AM,1590103047,61,40.87,43.84,2.24,50.0
north bend,99,FR,1590103047,82,50.33,3.67,8.75,64.99
key west,75,US,1590103047,8,32.73,-101.8,11.41,95.0
vagur,0,FO,1590103047,82,61.47,-6.81,11.34,46.98
soligalich,100,RU,1590103048,93,59.08,42.29,11.27,39.25
praia,20,CV,1590103048,73,14.92,-23.51,10.29,73.4
davenda,24,RU,1590103048,49,53.56,119.32,7.83,52.07
zambezi,0,ZM,1590103048,64,-13.54,23.1,6.02,56.98
nampula,75,MZ,1590103048,88,-15.12,39.27,6.93,66.2
cape town,0,CL,1590102983,76,-36.41,-71.9,6.93,51.8
sao miguel do araguaia,15,IN,1590103048,47,20.51,76.21,14.92,79.48
codrington,98,AU,1590103048,88,-38.27,141.97,6.8,49.55
kudahuvadhoo,94,MV,1590103048,76,2.67,72.89,20.94,83.84
gamboula,99,CF,1590103048,98,4.12,15.14,5.32,66.76
hilo,40,US,1590103048,65,19.73,-155.09,9.17,82.4
ayna,38,PE,1590103049,72,-12.65,-73.92,1.57,62.38
kruisfontein,10,ZA,1590103049,85,-34.0,24.73,10.92,60.71
nuuk,100,GL,1590103049,94,64.18,-51.72,8.05,33.8
labytnangi,22,RU,1590103049,69,66.66,66.42,7.7,54.64
saint-philippe,51,RE,1590103049,73,-21.36,55.77,18.34,71.6
praia da vitoria,20,CV,1590103049,73,14.92,-23.51,10.29,73.4
san patricio,29,ML,1590102905,11,13.3,-4.9,5.01,95.45
rettikhovka,79,RU,1590103049,59,44.17,132.77,2.68,54.1
kavieng,6,PG,1590103049,73,-2.57,150.8,6.46,84.24
melfi,5,IT,1590103049,93,41.0,15.65,6.93,59.0
albany,1,US,1590103049,22,42.6,-73.97,4.54,75.0
carballo,100,ES,1590103049,85,43.21,-8.69,5.01,63.0
carutapera,100,BR,1590103049,91,-1.2,-46.02,6.02,77.59
westport,1,US,1590103049,63,41.14,-73.36,6.93,61.0
raudeberg,85,NO,1590103049,85,61.99,5.14,2.77,51.01
georgetown,20,MY,1590103049,88,5.41,100.34,5.57,84.2
barrow,90,US,1590103049,85,71.29,-156.79,18.34,24.8
cidreira,100,BR,1590103050,94,-30.18,-50.21,3.42,66.42
katsuura,75,JP,1590103050,93,35.13,140.3,5.82,59.0
izhma,41,RU,1590103050,86,65.01,53.91,6.85,41.9
arraial do cabo,4,BR,1590103050,46,-22.84,-46.65,4.7,73.4
lompoc,1,US,1590103050,68,34.64,-120.46,13.87,68.0
